itemid,value,valuenum,valueuom,warning,label,abbreviation,linksto,category,unitname,param_type,lownormalvalue,highnormalvalue
227343,Nurse assist,0.0,,0.0,Ambulatory aid,Ambulatory aid,chartevents,Restraint/Support Systems,,Text,,
227344,Yes,20.0,,0.0,IV/Saline lock,IV/Saline lock,chartevents,Restraint/Support Systems,,Text,,
227345,Bed rest,0.0,,0.0,Gait/Transferring,Gait/Transferring,chartevents,Restraint/Support Systems,,Text,,
227346,Forgets limitations,15.0,,0.0,Mental status,Mental status,chartevents,Restraint/Support Systems,,Text,,
227349,1,1.0,,0.0,High risk (>51) interventions,High risk (>51) interventions,chartevents,Restraint/Support Systems,,Checkbox,,
227945,Off,,,0.0,Restraint (Non-violent),Restraint (Non-violent),chartevents,Restraint/Support Systems,,Text,,
228879,Medium (receptive),,,0.0,Education Readiness/Motivation,Education Readiness/Motivation,chartevents,Restraint/Support Systems,,Text,,
228880,"Some, but limited",,,0.0,Education Existing Knowledge,Education Existing Knowledge,chartevents,Restraint/Support Systems,,Text,,
224080,15 Degrees,,,0.0,Head of Bed,HOB,chartevents,Treatments,,Text,,
224082,Turns by Self,,,0.0,Turn,Turn,chartevents,Treatments,,Text,,
224084,Bedrest,,,0.0,Activity,Activity ,chartevents,Treatments,,Text,,
224086,Good,,,0.0,Activity Tolerance,Activity Tolerance,chartevents,Treatments,,Text,,
224093,Right Side,,,0.0,Position,Position,chartevents,Treatments,,Text,,
228868,2 Person Assist,,,0.0,Assistance,Assistance,chartevents,Treatments,,Text,,
224072,Patient/Family,,,0.0,Education Learner,Education Learner,chartevents,Restraint/Support Systems,,Text,,
224087,AtmosAir Mattress,,,0.0,Therapeutic Bed,Therapeutic Bed,chartevents,Treatments,,Text,,
224088,,,,0.0,Pressure Reducing Device,Pressure Reducing Device,chartevents,Treatments,,Text,,
224089,Compression sleeve,,,0.0,Anti Embolic Device,Anti Embolic Device,chartevents,Treatments,,Text,,
223758,Full code,,,0.0,Code Status,Code Status,chartevents,General,,Text,,
224640,MICU,,,0.0,Service,Service,chartevents,General,,Text,,
226531,86.7,86.7,,0.0,Admission Weight (lbs.),Admission Weight (lbs.),chartevents,General,,Numeric,,
225054,On ,,,0.0,Anti Embolic Device Status,Anti Embolic Device Status,chartevents,Treatments,,Text,,
226137,0,0.0,,0.0,18 Gauge placed in outside facility,18 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
226138,0,0.0,,0.0,20 Gauge placed in outside facility,20 Gauge placed in outside facility,chartevents,Access Lines - Peripheral,,Checkbox,,
227367,1,1.0,,0.0,18 Gauge Dressing Occlusive,18 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
227368,1,1.0,,0.0,20 Gauge Dressing Occlusive,20 Gauge Dressing Occlusive,chartevents,Access Lines - Peripheral,,Checkbox,,
228099,0,0.0,,0.0,18 Gauge placed in the field,18 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
228100,0,0.0,,0.0,20 Gauge placed in the field,20 Gauge placed in the field,chartevents,Access Lines - Peripheral,,Checkbox,,
220739,Spontaneously,4.0,,0.0,GCS - Eye Opening,Eye Opening,chartevents,Neurological,,Text,,
223901,Obeys Commands,6.0,,0.0,GCS - Motor Response,Motor Response,chartevents,Neurological,,Text,,
228394,Both,2.0,,0.0,Orientation to Person,Orientation to Person,chartevents,Neurological,,Text,,
228395,Hospital,1.0,,0.0,Orientation to Place,Orientation to Place,chartevents,Neurological,,Text,,
228396,Year,1.0,,0.0,Orientation to Time,Orientation to Time,chartevents,Neurological,,Text,,
228397,Consistently,,,0.0,Commands Response,Commands Response,chartevents,Neurological,,Text,,
228398,Close eyes,,,0.0,Commands,Commands,chartevents,Neurological,,Text,,
228399,No,,,0.0,Facial Droop,Facial Droop,chartevents,Neurological,,Text,,
228409,Full resistance,5.0,,0.0,Strength L Arm,Strength L Arm,chartevents,Neurological,,Text,,
228410,Full resistance,5.0,,0.0,Strength L Leg,Strength L Leg,chartevents,Neurological,,Text,,
228411,Full resistance,5.0,,0.0,Strength R Leg,Strength R Leg,chartevents,Neurological,,Text,,
228412,Full resistance,5.0,,0.0,Strength R Arm,Strength R Arm,chartevents,Neurological,,Text,,
228414,Normal,,,0.0,Speech,Speech,chartevents,Neurological,,Text,,
223900,Confused,4.0,,0.0,GCS - Verbal Response,Verbal Response,chartevents,Neurological,,Text,,
223985,Regular,,,0.0,Respiratory Pattern,Respiratory Pattern,chartevents,Pulmonary,,Text,,
223990,Normal,,,0.0,Respiratory Effort,Respiratory Effort,chartevents,Pulmonary,,Text,,
223991,,,,0.0,Cough Effort,Cough Effort,chartevents,Pulmonary,,Text,,
224015,Voids,,,0.0,Urine Source,Urine Source,chartevents,GI/GU,,Text,,
224027,Warm,,,0.0,Skin Temperature,Skin Temp,chartevents,Skin - Assessment,,Text,,
224028,Jaundiced,,,0.0,Skin Color,Skin Color,chartevents,Skin - Assessment,,Text,,
224031,,,,0.0,Edema Location,Edema Location,chartevents,Skin - Incisions,,Text,,
224054,Slight Impairment,3.0,,0.0,Braden Sensory Perception,Braden Sensory Perception,chartevents,Skin - Assessment,,Text,,
224055,Occasionally Moist,3.0,,0.0,Braden Moisture,Braden Moisture,chartevents,Skin - Assessment,,Text,,
224056,Walks Occasionally,3.0,,0.0,Braden Activity,Braden Activity,chartevents,Skin - Assessment,,Text,,
224057,Very Limited,2.0,,0.0,Braden Mobility,Braden Mobility,chartevents,Skin - Assessment,,Text,,
224058,Probably Inadequate,2.0,,0.0,Braden Nutrition,Braden Nutrition,chartevents,Skin - Assessment,,Text,,
224059,Potential Problem,2.0,,0.0,Braden Friction/Shear,Braden Friction/Shear,chartevents,Skin - Assessment,,Text,,
224860,Dry ,,,0.0,Skin Condition,Skin Condition,chartevents,Skin - Assessment,,Text,,
224026,Intact,,,0.0,Skin Integrity,Skin Integrity,chartevents,Skin - Assessment,,Text,,
223934,Easily Palpable,,,0.0,Dorsal PedPulse R,Dorsal PedPulse R,chartevents,Cardiovascular (Pulses),,Text,,
223943,Easily Palpable,,,0.0,Dorsal PedPulse L,Dorsal PedPulse L,chartevents,Cardiovascular (Pulses),,Text,,
223976,Normal,,,0.0,RUE Color,RUE Color,chartevents,Cardiovascular,,Text,,
223979,Normal,,,0.0,RLE Color,RLE Color,chartevents,Cardiovascular,,Text,,
223982,Normal,,,0.0,LUE Color,LUE Color,chartevents,Cardiovascular,,Text,,
223983,Normal,,,0.0,LLE Color,LLE Color,chartevents,Cardiovascular,,Text,,
223999,Teeth/Tissue WNL,,,0.0,Oral Cavity,Oral Cavity,chartevents,GI/GU,,Text,,
224000,Patent,,,0.0,Nares R,Nares R,chartevents,GI/GU,,Text,,
224001,NAS/Low Cholesterol,,,0.0,Diet Type,Diet Type,chartevents,GI/GU,,Text,,
224003,Ascites,,,0.0,Abdominal Assessment,Abdominal Assessment,chartevents,GI/GU,,Text,,
224004,Present,,,0.0,Bowel Sounds,Bowel Sounds,chartevents,GI/GU,,Text,,
224767,Warm,,,0.0,RUE Temp,RUE Temp,chartevents,Cardiovascular,,Text,,
224769,Warm,,,0.0,LUE Temp,LUE Temp,chartevents,Cardiovascular,,Text,,
224771,Warm,,,0.0,RLE Temp,RLE Temp,chartevents,Cardiovascular,,Text,,
224773,Warm,,,0.0,LLE Temp,LLE Temp,chartevents,Cardiovascular,,Text,,
224879,Patent,,,0.0,Nares L,Nares L,chartevents,GI/GU,,Text,,
223936,Weak Palpable,,,0.0,Radial Pulse R,Radial Pulse R,chartevents,Cardiovascular (Pulses),,Text,,
223948,Weak Palpable,,,0.0,Radial Pulse L,Radial Pulse L,chartevents,Cardiovascular (Pulses),,Text,,
223986,Bronchial,,,0.0,RUL Lung Sounds,RUL Lung Sounds,chartevents,Pulmonary,,Text,,
223988,Bronchial,,,0.0,LUL Lung Sounds,LUL Lung Sounds,chartevents,Pulmonary,,Text,,
224011,Loose,,,0.0,Stool Consistency,Stool Consistency,chartevents,GI/GU,,Text,,
224794,Golden,,,0.0,Stool Color,Stool Color,chartevents,GI/GU,,Text,,
228888,Adequate management of pain with minimal side effects and adequate ventilation,,,0.0,Pain NCP - Expected outcomes,Pain NCP - Expected outcomes,chartevents,Care Plans,,Text,,
228890,"Assess for anxiety, depression, or delirium which may contribute to pain and interfere with pain management",,,0.0,Pain NCP - Interventions,Pain NCP - Interventions,chartevents,Care Plans,,Text,,
228973,Identify delirium as soon as clinically evident,,,0.0,Altered Mental Status  NCP - Expected outcomes,AMS NCP - Expected outcomes,chartevents,Care Plans,,Text,,
229088,Yes,,,0.0,Altered Mental Status  NCP - Plan revised,AMS NCP - Plan revised,chartevents,Care Plans,,Text,,
229089,No,,,0.0,Altered Mental Status  NCP - Problem resolved,AMS NCP - Problem resolved,chartevents,Care Plans,,Text,,
229106,No,,,0.0,Pain NCP - Plan revised,Pain NCP - Plan revised,chartevents,Care Plans,,Text,,
229107,No,,,0.0,Pain NCP - Problem resolved,Pain NCP - Problem resolved,chartevents,Care Plans,,Text,,
227570,Albuterol 0.083% unit,,,0.0,Small Volume Neb Drug/Dose #1,SV Neb Drug/Dose #1,chartevents,Respiratory,,Text,,
223792,Emotional Support,,,0.0,Pain Management,Pain Management,chartevents,Pain/Sedation,,Text,,
228096,"+1 Anxious, apprehensive, but not aggressive",1.0,,0.0,Richmond-RAS Scale,Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,
228298,"No, not sedated",,,0.0,Daily Wake Up,Daily Wake Up,chartevents,Pain/Sedation,,Text,,
228299, 0  Alert and calm,0.0,,0.0,Goal Richmond-RAS Scale,Goal Richmond-RAS Scale,chartevents,Pain/Sedation,,Text,,
228332,Positive,,,0.0,Delirium assessment,Delirium assessment,chartevents,Pain/Sedation,,Text,,
228334,Yes,1.0,,0.0,CAM-ICU Altered LOC,CAM-ICU Altered LOC,chartevents,Pain/Sedation,,Text,,
228336,Yes,1.0,,0.0,CAM-ICU Inattention,CAM-ICU Inattention,chartevents,Pain/Sedation,,Text,,
228337,Yes,1.0,,0.0,CAM-ICU MS Change,CAM-ICU MS Change,chartevents,Pain/Sedation,,Text,,
228011,Grade 0,,,0.0,18 G Phlebitis Scale,18 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
228012,Grade 0,,,0.0,18 G Infiltration Scale,18 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
228013,Grade 0,,,0.0,20 G Phlebitis Scale,20 G Phlebitis Scale,chartevents,Access Lines - Peripheral,,Text,,
228014,Grade 0,,,0.0,20 G Infiltration Scale,20 G Infiltration Scale,chartevents,Access Lines - Peripheral,,Text,,
224862,2 mm,,,0.0,Edema Amount,Edema Amount,chartevents,Skin - Incisions,,Text,,
227464,5.8,5.8,mEq/L,1.0,Potassium (whole blood),Potassium (whole blood),chartevents,Labs,,Numeric with tag,,
220602,102,102.0,mEq/L,0.0,Chloride (serum),Chloride (serum),chartevents,Labs,,Numeric,,
220615,0.5,0.5,mg/dL,0.0,Creatinine (serum),Creatinine (serum),chartevents,Labs,,Numeric,,
220621,115,115.0,mg/dL,1.0,Glucose (serum),Glucose (serum),chartevents,Labs,,Numeric,,
220635,2.3,2.3,mg/dL,0.0,Magnesium,Magnesium,chartevents,Labs,,Numeric,,
220645,132,132.0,mEq/L,1.0,Sodium (serum),Sodium (serum),chartevents,Labs,,Numeric,,
225624,33,33.0,mg/dL,1.0,BUN,BUN,chartevents,Labs,,Numeric,,
225625,9.3,9.3,mg/dL,0.0,Calcium non-ionized,Calcium non-ionized,chartevents,Labs,,Numeric,,
225677,2.4,2.4,mg/dL,1.0,Phosphorous,Phosphorous,chartevents,Labs,,Numeric,,
227073,14,14.0,mEq/L,0.0,Anion gap,Anion gap,chartevents,Labs,,Numeric,,
227442,4.7,4.7,mEq/L,0.0,Potassium (serum),Potassium (serum),chartevents,Labs,,Numeric with tag,,
227443,21,21.0,mEq/L,1.0,HCO3 (serum),HCO3 (serum),chartevents,Labs,,Numeric with tag,,
224369,Thick,,,0.0,Sputum Consistency,Sputum Consistency,chartevents,Respiratory,,Text,,
224370,Bloody ,,,0.0,Sputum Color,Sputum Color,chartevents,Respiratory,,Text,,
224372,Nasotrachial Suction,,,0.0,Sputum Source,Sputum Source,chartevents,Respiratory,,Text,,
224373,Small,,,0.0,Sputum Amount,Sputum Amount,chartevents,Respiratory,,Text,,
223835,50,50.0,,0.0,Inspired O2 Fraction,FiO2,chartevents,Respiratory,,Numeric,,
227287,4,4.0,L/min,0.0,O2 Flow (additional cannula),O2 Flow (additional cannula),chartevents,Respiratory,L/min,Numeric,,
223987,Exp Wheeze,,,0.0,RLL Lung Sounds,RLL Lung Sounds,chartevents,Pulmonary,,Text,,
223989,Exp Wheeze,,,0.0,LLL Lung Sounds,LLL Lung Sounds,chartevents,Pulmonary,,Text,,
224651,Occasional,,,0.0,Ectopy Frequency 1,Ectopy Frequency 1,chartevents,Routine Vital Signs,,Text,,
223759,Contact,,,0.0,Precautions: Standard +,Precautions: Standard +,chartevents,General,,Text,,
223760,Yes - But NO copy of signed proxy form in medical record,,,0.0,Health Care Proxy,Health Care Proxy,chartevents,General,,Text,,
227375,Yes,,,0.0,Daily Wake Up,Daily Wake Up,chartevents,Pain/Sedation,,Text,,
223753,Agitated,5.0,,0.0,Riker-SAS Scale,Riker-SAS Scale,chartevents,Pain/Sedation,,Text,,
223754,Yes,,,0.0,Risk for Falls,Risk for Falls,chartevents,Neurological,,Text,,
223898,Oriented x1,,,0.0,Orientation,Orientation,chartevents,Neurological,,Text,,
223902,Normal,,,0.0,Speech,Speech,chartevents,Neurological,,Text,,
223903,Symbol/ABC Board,,,0.0,Communication,Communication,chartevents,Neurological,,Text,,
223904,Intact,,,0.0,Gag Reflex,Gag Reflex,chartevents,Neurological,,Text,,
223905,Intact,,,0.0,Cough Reflex,Cough Reflex,chartevents,Neurological,,Text,,
223907,2mm,,,0.0,Pupil Size Right,Pupil Size Right,chartevents,Neurological,,Text,,
223910,Inconsistently,,,0.0,Follows Commands,Follows Commands,chartevents,Neurological,,Text,,
223911,Purposeful,,,0.0,Spontaneous Movement,Spontaneous Movement,chartevents,Neurological,,Text,,
223916,Verbal,,,0.0,Response to Stimuli (Type),Response to Stimuli (Type),chartevents,Neurological,,Text,,
223917,Normal strength,,,0.0,RU Strength/Movement,RU Strength/Movement,chartevents,Neurological,,Text,,
223918,Normal strength,,,0.0,RL Strength/Movement,RL Strength/Movement,chartevents,Neurological,,Text,,
223919,Lifts/falls back,,,0.0,LU Strength/Movement,LU Strength/Movement,chartevents,Neurological,,Text,,
223920,Lifts/falls back,,,0.0,LL Strength/Movement,LL Strength/Movement,chartevents,Neurological,,Text,,
223921,Not Indicated,,,0.0,Neuro Symptoms,Neuro Symptoms,chartevents,Neurological,,Text,,
223923,,,,0.0,Seizure Activity,Seizure Activity,chartevents,Neurological,,Text,,
223924,Intact,,,0.0,RLE Sensation,RLE Sensation,chartevents,Neurological,,Text,,
224730,Intact,,,0.0,Corneal Reflex Right,Corneal Reflex Right,chartevents,Neurological,,Text,,
224731,Intact,,,0.0,Corneal Reflex Left,Corneal Reflex Left,chartevents,Neurological,,Text,,
224733,2mm,,,0.0,Pupil Size Left,Pupil Size Left,chartevents,Neurological,,Text,,
224756,Localizes,,,0.0,Response,Response,chartevents,Neurological,,Text,,
224758,Intact,,,0.0,RUE Sensation,RUE Sensation,chartevents,Neurological,,Text,,
224759,Intact,,,0.0,LUE Sensation,LUE Sensation,chartevents,Neurological,,Text,,
224762,Intact,,,0.0,LLE Sensation,LLE Sensation,chartevents,Neurological,,Text,,
226104,Alert,,,0.0,Level of Consciousness,Level of Consciousness,chartevents,Neurological,,Text,,
226105,Appropriate,,,0.0,Behavior,Behavior,chartevents,Neurological,,Text,,
227121,Brisk ,,,0.0,Pupil Response Right,Pupil Response R,chartevents,Neurological,,Text,,
227288,Brisk ,,,0.0,Pupil Response Left,Pupil Response L,chartevents,Neurological,,Text,,
223935,Easily Palpable,,,0.0,PostTib. Pulses R,PostTib Pulses R,chartevents,Cardiovascular (Pulses),,Text,,
223947,Easily Palpable,,,0.0,PostTib. Pulses L,PostTib Pulses L,chartevents,Cardiovascular (Pulses),,Text,,
223951,Normal <3 Seconds,,,0.0,Capillary Refill R,Capillary Refill R,chartevents,Cardiovascular (Pulses),,Text,,
223992,Non-productive,,,0.0,Cough Type,Cough Type,chartevents,Pulmonary,,Text,,
224308,Normal <3 Seconds,,,0.0,Capillary Refill L,Capillary Refill L,chartevents,Cardiovascular (Pulses),,Text,,
224016,Amber,,,0.0,Urine Color,Urine Color,chartevents,GI/GU,,Text,,
224876,Clear,,,0.0,Urine Appearance,Urine Appearance,chartevents,GI/GU,,Text,,
227668,All rails up - specialty beds ONLY,,,0.0,Side Rails_V2,Side Rails_V2,chartevents,Restraint/Support Systems,,Text,,
227684,1:1 Time with patient,,,0.0,Safety Measures,Safety Measures,chartevents,Restraint/Support Systems,,Text,,
224075,Yes,,,0.0,Education Readiness,Education Readiness,chartevents,Restraint/Support Systems,,Text,,
227671,Off,,,0.0,Non-Violent Restraints,Non-Violent Restraints,chartevents,Restraint/Support Systems,,Text,,
224085,1 Person Assist,,,0.0,Assistance Device,Assistance Device,chartevents,Treatments,,Text,,
225231,WNL,,,0.0,20 Gauge Site Appear,20 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
225234,WNL,,,0.0,18 Gauge Site Appear,18 Gauge Site Appear,chartevents,Access Lines - Peripheral,,Text,,
224032,"Leg, Left Lower",,,0.0,Impaired Skin Site #1,Site #1,chartevents,Skin - Impairment,,Text,,
224037,Wound Cleanser,,,0.0,Impaired Skin Cleanse #1,Site Cleanse #1,chartevents,Skin - Impairment,,Text,,
224038,None-Open to Air,,,0.0,Impaired Skin Treatment #1,Site Treatment #1,chartevents,Skin - Impairment,,Text,,
224226,Pink,,,0.0,Impaired Skin Wound Base #1,Site/Wound Base #1,chartevents,Skin - Impairment,,Text,,
224259,,,,0.0,Impaired Skin Drainage #1,Site Drainage #1,chartevents,Skin - Impairment,,Text,,
224561,Vascular wound; venous,,,0.0,Impaired Skin Type #1,Type #1,chartevents,Skin - Impairment,,Text,,
224564,0,0.0,,0.0,Impaired Skin Odor #1,Odor #1,chartevents,Skin - Impairment,,Checkbox,,
224565,Intact,,,0.0,Surrounding Tissue #1,Surrounding Tissue #1,chartevents,Skin - Impairment,,Text,,
224888,Wound Cleanser,,,0.0,Impaired Skin Cleanse #2,Site Cleanse #2,chartevents,Skin - Impairment,,Text,,
224902,,,,0.0,Impaired Skin Drainage #2,Site Drainage #2,chartevents,Skin - Impairment,,Text,,
224923,0,0.0,,0.0,Impaired Skin Odor #2,Odor #2,chartevents,Skin - Impairment,,Checkbox,,
224930,"Leg, Right Lower",,,0.0,Impaired Skin Site #2,Site #2,chartevents,Skin - Impairment,,Text,,
224937,None-Open to Air,,,0.0,Impaired Skin Treatment #2,Site Treatment #2,chartevents,Skin - Impairment,,Text,,
224944,Vascular wound; venous,,,0.0,Impaired Skin Type #2,Type #2,chartevents,Skin - Impairment,,Text,,
224958,Pink,,,0.0,Impaired Skin Wound Base #2,Site/Wound Base #2,chartevents,Skin - Impairment,,Text,,
224972,Intact,,,0.0,Surrounding Tissue #2,Surrounding Tissue #2,chartevents,Skin - Impairment,,Text,,
225185,1,1.0,,0.0,Skin Care,Skin Care,chartevents,Treatments,,Checkbox,,
225187,1,1.0,,0.0,Back Care,Back Care,chartevents,Treatments,,Checkbox,,
223780,No/Not Sedated,,,0.0,Daily Wake Up Deferred,Daily Wake Up Deferred,chartevents,Pain/Sedation,,Text,,
220001,".H/O pneumonia, other",,,,Problem List,Problem List,chartevents,General,,Text,,
225067,1,1.0,,0.0,Is the spokesperson the Health Care Proxy,Is the spokesperson the Health Care Proxy,chartevents,Adm History/FHPA,,Checkbox,,
225072,Other,,,0.0,Living situation,Living situation,chartevents,Adm History/FHPA,,Text,,
225074,0,0.0,,0.0,Any fear in relationships,Any fear in relationships,chartevents,Adm History/FHPA,,Checkbox,,
225076,0,0.0,,0.0,Emotional / physical / sexual harm by partner or close relation,Emotional / physical / sexual harm,chartevents,Adm History/FHPA,,Checkbox,,
225078,0,0.0,,0.0,Social work consult,Social work consult,chartevents,Adm History/FHPA,,Checkbox,,
225087,1,1.0,,0.0,Visual / hearing deficit,Visual / hearing deficit,chartevents,Adm History/FHPA,,Checkbox,,
225092,0,0.0,,0.0,Self ADL,Self ADL,chartevents,Adm History/FHPA,,Checkbox,,
225094,1,1.0,,0.0,History of slips / falls,History of slips / falls,chartevents,Adm History/FHPA,,Checkbox,,
225103,1,1.0,,0.0,Intravenous  / IV access prior to admission,Intravenous  / IV access prior to admission,chartevents,Adm History/FHPA,,Checkbox,,
225106,0,0.0,,0.0,ETOH,ETOH,chartevents,Adm History/FHPA,,Checkbox,,
225110,0,0.0,,0.0,Recreational drug use,Recreational drug use,chartevents,Adm History/FHPA,,Checkbox,,
225113,0,0.0,,0.0,Currently experiencing pain,Currently experiencing pain,chartevents,Adm History/FHPA,,Checkbox,,
225118,0,0.0,,0.0,Difficulty swallowing,Difficulty swallowing,chartevents,Adm History/FHPA,,Checkbox,,
225120,Good,,,0.0,Appetite,Appetite,chartevents,Adm History/FHPA,,Text,,
225126,0,0.0,,0.0,Dialysis patient,Dialysis patient,chartevents,Adm History/FHPA,,Checkbox,,
225129,1,1.0,,0.0,Unable to assess teaching / learning needs,Unable to assess teaching / learning needs,chartevents,Adm History/FHPA,,Checkbox,,
225811,Hypertension,,,0.0,CV - past medical history,CV - PMH,chartevents,Adm History/FHPA,,Text,,
226180,0,0.0,,0.0,Sexuality / reproductive problems,Sexuality / reproductive problems,chartevents,Adm History/FHPA,,Checkbox,,
224889,Foam Cleanser,,,0.0,Impaired Skin Cleanse #3,Site Cleanse #3,chartevents,Skin - Impairment,,Text,,
224903,,,,0.0,Impaired Skin Drainage #3,Site Drainage #3,chartevents,Skin - Impairment,,Text,,
224931,"Arm, Left Lower",,,0.0,Impaired Skin Site #3,Site #3,chartevents,Skin - Impairment,,Text,,
224938,None-Open to Air,,,0.0,Impaired Skin Treatment #3,Site Treatment #3,chartevents,Skin - Impairment,,Text,,
224945,Rash,,,0.0,Impaired Skin Type #3,Type #3,chartevents,Skin - Impairment,,Text,,
224959,Pink,,,0.0,Impaired Skin Wound Base #3,Site/Wound Base #3,chartevents,Skin - Impairment,,Text,,
224409,Unable to Score,,,0.0,Pain Level Response,Pain Level Response,chartevents,Pain/Sedation,,Text,,
